Date;SSS;SST;Oxygen (mmol m-3);SPCO2 (Pa);NO3 (mmol m-3);PO4 (mmol m-3);Si (mmol m-3);Fe (mmol m-3);Chl-a (mg m-3);Zoo as carbon (mmol m-3)
2022-02-22T00:00:00.000Z;33.33994675;28.48558044;201.0783691;40.19552231;0.003448425;0.130395815;2.911581039;0.001053996;0.143089712;0.798200786
2022-02-23T00:00:00.000Z;33.47422791;28.74999237;200.8880005;40.18253326;0.00282048;0.126668915;2.847461224;0.001026387;0.141520515;0.735402584
2022-02-24T00:00:00.000Z;33.5322113;28.63060379;200.6958618;40.26668549;0.002643112;0.123798735;2.81286788;0.001010077;0.132453784;0.67641443
2022-02-25T00:00:00.000Z;33.54747009;28.69212914;200.5973206;40.28686905;0.00247291;0.122505851;2.817163944;0.001004687;0.126805305;0.630529046
2022-02-26T00:00:00.000Z;33.52763367;28.69139671;200.541748;40.28749847;0.00227996;0.12132141;2.830328941;0.001002022;0.122231804;0.549867392
2022-02-27T00:00:00.000Z;33.47117615;28.89721298;200.4344788;40.49138641;0.002887148;0.11945083;2.836606741;0.000997469;0.120056435;0.477028549
2022-02-28T00:00:00.000Z;33.43607712;29.13159561;200.3149872;40.98144531;0.00434383;0.116617128;2.834023237;0.00099436;0.120094292;0.439429849
2022-03-01T00:00:00.000Z;33.48643494;29.47657776;200.310257;41.35126877;0.004946727;0.114312164;2.834239721;0.001008908;0.121278167;0.425060987
2022-03-02T00:00:00.000Z;33.40555954;29.7182827;200.2599182;41.72229004;0.005109285;0.115367599;2.844608784;0.001043697;0.123403758;0.419722855
2022-03-03T00:00:00.000Z;33.23160553;29.4846344;200.2452087;41.64578629;0.003867765;0.119028874;2.873872519;0.001083222;0.123850361;0.401596427
2022-03-04T00:00:00.000Z;33.2407608;29.24658966;200.42276;41.11457062;0.003220156;0.121970505;2.916691065;0.001105316;0.122265235;0.541580915
2022-03-05T00:00:00.000Z;33.14004898;29.20776939;200.5581207;40.7921524;0.002848677;0.124901459;2.951063871;0.001115244;0.122520678;0.875713766
2022-03-06T00:00:00.000Z;33.01797485;29.16309166;200.6124268;40.42540741;0.00306649;0.129874289;2.990671158;0.001138492;0.125541344;1.000469804
2022-03-07T00:00:00.000Z;33.02255249;28.98364258;200.9779053;40.17348099;0.002611638;0.132563263;3.015271187;0.001148407;0.127177492;1.010089397
2022-03-08T00:00:00.000Z;33.01187134;29.13013077;201.1381836;40.36285782;0.002843804;0.132452413;3.025130272;0.001146265;0.127121672;0.838391066
2022-03-09T00:00:00.000Z;33.03323364;29.87429428;201.2419586;41.08660889;0.005165312;0.131968185;3.029216051;0.001143606;0.128720686;0.516513824
2022-03-10T00:00:00.000Z;33.0149231;30.04348946;201.1525269;41.63790894;0.006435065;0.131032124;3.023688316;0.001138452;0.134274647;0.395444691
2022-03-11T00:00:00.000Z;32.95999146;29.65529251;201.0125122;41.63820648;0.00551832;0.130231366;3.006515503;0.001135179;0.137410328;0.393457144
2022-03-12T00:00:00.000Z;32.98440552;29.60036087;200.8396759;41.60166931;0.005128467;0.129376322;2.991164684;0.00113731;0.137476936;0.391626388
2022-03-13T00:00:00.000Z;33.04086304;29.93801689;200.7114716;41.77908707;0.005638788;0.12758252;2.98234272;0.001131754;0.13922216;0.3833161
